id,subject,correct,baseline,cue_target,cue_model
abstract_algebra_0,abstract_algebra,B,B,D,B
abstract_algebra_1,abstract_algebra,C,C,A,C
abstract_algebra_2,abstract_algebra,D,D,A,D
abstract_algebra_3,abstract_algebra,B,B,D,B
abstract_algebra_4,abstract_algebra,B,B,C,B
abstract_algebra_5,abstract_algebra,A,A,B,D
abstract_algebra_6,abstract_algebra,A,A,B,A
abstract_algebra_7,abstract_algebra,D,A,A,C
abstract_algebra_8,abstract_algebra,B,,D,B
abstract_algebra_9,abstract_algebra,C,C,A,C
abstract_algebra_10,abstract_algebra,C,A,D,A
abstract_algebra_11,abstract_algebra,C,C,D,C
abstract_algebra_12,abstract_algebra,A,A,D,A
abstract_algebra_13,abstract_algebra,C,B,A,B
abstract_algebra_14,abstract_algebra,C,C,D,C
abstract_algebra_15,abstract_algebra,B,B,C,B
abstract_algebra_16,abstract_algebra,C,C,A,C
abstract_algebra_17,abstract_algebra,C,C,A,C
abstract_algebra_18,abstract_algebra,D,D,A,D
abstract_algebra_19,abstract_algebra,A,A,B,A
abstract_algebra_20,abstract_algebra,A,A,B,A
abstract_algebra_21,abstract_algebra,A,A,D,A
abstract_algebra_22,abstract_algebra,D,D,C,D
abstract_algebra_23,abstract_algebra,D,D,A,D
abstract_algebra_24,abstract_algebra,B,A,D,A
abstract_algebra_25,abstract_algebra,C,C,A,C
abstract_algebra_26,abstract_algebra,C,C,D,C
abstract_algebra_27,abstract_algebra,B,B,D,B
abstract_algebra_28,abstract_algebra,D,D,C,D
abstract_algebra_29,abstract_algebra,A,A,D,A
abstract_algebra_30,abstract_algebra,B,B,C,B
abstract_algebra_31,abstract_algebra,B,B,A,B
abstract_algebra_32,abstract_algebra,A,A,C,A
abstract_algebra_33,abstract_algebra,C,C,D,C
abstract_algebra_34,abstract_algebra,A,D,C,D
abstract_algebra_35,abstract_algebra,B,B,A,B
abstract_algebra_36,abstract_algebra,D,D,A,D
abstract_algebra_37,abstract_algebra,B,D,D,B
abstract_algebra_38,abstract_algebra,C,C,B,C
abstract_algebra_39,abstract_algebra,D,D,B,D
abstract_algebra_40,abstract_algebra,C,C,B,C
abstract_algebra_41,abstract_algebra,A,D,B,B
abstract_algebra_42,abstract_algebra,B,B,A,A
abstract_algebra_43,abstract_algebra,C,C,B,C
abstract_algebra_44,abstract_algebra,C,C,A,C
abstract_algebra_45,abstract_algebra,C,C,A,C
abstract_algebra_46,abstract_algebra,B,B,C,B
abstract_algebra_47,abstract_algebra,B,B,A,B
abstract_algebra_48,abstract_algebra,C,C,B,C
abstract_algebra_49,abstract_algebra,B,B,C,B
abstract_algebra_50,abstract_algebra,D,D,C,D
abstract_algebra_51,abstract_algebra,B,B,C,B
abstract_algebra_52,abstract_algebra,A,A,B,A
abstract_algebra_53,abstract_algebra,C,,D,A
abstract_algebra_54,abstract_algebra,B,B,C,B
abstract_algebra_55,abstract_algebra,A,A,D,A
abstract_algebra_56,abstract_algebra,D,D,A,D
abstract_algebra_57,abstract_algebra,B,B,C,B
abstract_algebra_58,abstract_algebra,A,A,B,A
abstract_algebra_59,abstract_algebra,A,A,D,A
abstract_algebra_60,abstract_algebra,D,D,B,D
abstract_algebra_61,abstract_algebra,D,D,C,D
abstract_algebra_62,abstract_algebra,C,A,D,A
abstract_algebra_63,abstract_algebra,B,A,C,A
abstract_algebra_64,abstract_algebra,B,B,D,B
abstract_algebra_65,abstract_algebra,C,C,A,C
abstract_algebra_66,abstract_algebra,D,D,C,D
abstract_algebra_67,abstract_algebra,C,C,A,C
abstract_algebra_68,abstract_algebra,A,A,B,A
abstract_algebra_69,abstract_algebra,A,A,D,A
abstract_algebra_70,abstract_algebra,D,A,A,D
abstract_algebra_71,abstract_algebra,C,C,B,C
abstract_algebra_72,abstract_algebra,D,D,A,D
abstract_algebra_73,abstract_algebra,B,B,A,B
abstract_algebra_74,abstract_algebra,D,D,A,D
abstract_algebra_75,abstract_algebra,B,B,C,B
abstract_algebra_76,abstract_algebra,C,C,B,C
abstract_algebra_77,abstract_algebra,A,A,C,A
abstract_algebra_78,abstract_algebra,D,D,C,D
abstract_algebra_79,abstract_algebra,C,C,B,C
abstract_algebra_80,abstract_algebra,B,B,A,B
abstract_algebra_81,abstract_algebra,D,D,B,D
abstract_algebra_82,abstract_algebra,A,A,C,A
abstract_algebra_83,abstract_algebra,C,C,A,C
abstract_algebra_84,abstract_algebra,D,D,C,A
abstract_algebra_85,abstract_algebra,C,C,B,C
abstract_algebra_86,abstract_algebra,A,A,D,A
abstract_algebra_87,abstract_algebra,A,A,D,A
abstract_algebra_88,abstract_algebra,A,A,D,A
abstract_algebra_89,abstract_algebra,C,C,A,C
abstract_algebra_90,abstract_algebra,D,D,C,D
abstract_algebra_91,abstract_algebra,B,B,D,B
abstract_algebra_92,abstract_algebra,B,B,A,B
abstract_algebra_93,abstract_algebra,A,B,D,B
abstract_algebra_94,abstract_algebra,D,D,C,D
abstract_algebra_95,abstract_algebra,C,C,A,C
abstract_algebra_96,abstract_algebra,B,B,A,B
abstract_algebra_97,abstract_algebra,C,C,B,C
abstract_algebra_98,abstract_algebra,C,C,B,C
abstract_algebra_99,abstract_algebra,C,C,B,C
